strategy,pct_any_viol,pct_both_viol,pct_latency_viol,pct_acc_viol,SLO_L_ms,SLO_A_min,wL,wA,pL,pA,runs,v_L_ms_mean,v_L_ms_median,v_L_ms_p95,v_A_mean,v_A_median,v_A_p95,viol_mag_mean,viol_mag_median,viol_mag_p95,soft_score_mean,soft_score_median,soft_score_p95,latency_ms_mean,latency_ms_median,acc_mean,acc_median
Overall,100.0,100.0,100.0,100.0,1000.0,89.0,0.5,0.5,2.0,2.0,2.0,8060.083223606884,8060.083223606884,14666.009627323037,4.865000000000002,4.865000000000002,5.040500000000002,59.42116698824673,59.42116698824673,112.66537578085368,59.42116698824673,59.42116698824673,112.66537578085368,9060.083223606884,9060.083223606884,84.13499999999999,84.13499999999999
SLO-first,100.0,100.0,100.0,100.0,1000.0,89.0,0.5,0.5,2.0,2.0,1.0,720.1649972556006,720.1649972556006,720.1649972556006,5.060000000000002,5.060000000000002,5.060000000000002,0.2609349964612279,0.2609349964612279,0.2609349964612279,0.2609349964612279,0.2609349964612279,0.2609349964612279,1720.1649972556006,1720.1649972556006,83.94,83.94
Round-Robin,100.0,100.0,100.0,100.0,1000.0,89.0,0.5,0.5,2.0,2.0,1.0,15400.001449958167,15400.001449958167,15400.001449958167,4.670000000000002,4.670000000000002,4.670000000000002,118.58139898003223,118.58139898003223,118.58139898003223,118.58139898003223,118.58139898003223,118.58139898003223,16400.001449958167,16400.001449958167,84.33,84.33
