strategy,latency_mean,latency_median,latency_p95,latency_p99,acc_acc_mean,payload_mean,payload_median,payload_p95,payload_p99,link_mean,link_median,link_p95,link_p99,hops_mean,hops_median,hops_p95,hops_p99,payload_cached_mean,payload_cached_median,payload_cached_p95,payload_cached_p99,link_cached_mean,link_cached_median,link_cached_p95,link_cached_p99,selector_mean,selector_median,selector_p95,selector_p99,ssp_mean,ssp_median,ssp_p95,ssp_p99
Round-Robin,16400.001449958167,16400.001449958167,16400.001449958167,16400.001449958167,84.33,3.158203125,3.158203125,3.158203125,3.158203125,83.1181640625,83.1181640625,83.1181640625,83.1181640625,400.0,400.0,400.0,400.0,3.158203125,3.158203125,3.158203125,3.158203125,83.1181640625,83.1181640625,83.1181640625,83.1181640625,79.53295900000512,79.53295900000512,79.53295900000512,79.53295900000512,0.0,0.0,0.0,0.0
SLO-first,1720.1649972556006,1720.1649972556006,1720.1649972556006,1720.1649972556006,83.94,3.0146484375,3.0146484375,3.0146484375,3.0146484375,6.34033203125,6.34033203125,6.34033203125,6.34033203125,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491775.1433740001,491775.1433740001,491775.1433740001,491775.1433740001,348.0,348.0,348.0,348.0
