strategy,mean,median,p95,p99
Best-Acc,323.395,325.0,367.0,384.0799999999999
Lowest-Latency,235.275,233.5,281.09999999999997,292.01
Random,300.57,300.5,360.15,402.01
Round-Robin,305.22,304.0,360.09999999999997,375.2499999999998
SLO-first,237.76,237.0,279.04999999999995,289.01
