profile,strategy,acc_mean
default,Best-Acc,95.16
default,Lowest-Latency,94.068
default,Random,94.35414999999999
default,Round-Robin,94.38052499999999
default,SLO-first,94.06065000000001
fast,Best-Acc,95.16
fast,Lowest-Latency,94.0694
fast,Random,94.41329999999999
fast,Round-Robin,94.38052499999999
fast,SLO-first,94.059375
heavy,Best-Acc,95.16
heavy,Lowest-Latency,94.04885
heavy,Random,94.391975
heavy,Round-Robin,94.38052499999999
heavy,SLO-first,94.02042499999999
