strategy,mean,median,p95,p99
Best-Acc,29799.24227072027,29725.45574955644,33104.80725686779,34287.737665633664
Lowest-Latency,20590.10751780296,20571.44706895639,22632.90918262519,23015.039061942323
Random,26931.314079017815,26945.272759942643,32222.118031649014,33758.01215300674
Round-Robin,27180.54981600486,27071.846556734454,31897.313116685924,33323.898780603035
SLO-first,20763.710456038054,20897.15092577424,22632.253161834724,23521.723419756196
