strategy,mean,median,p95,p99,acc_mean,mean_payload,median_payload,p95_payload,p99_payload,mean_link,median_link,p95_link,p99_link,mean_hops,median_hops,p95_hops,p99_hops
Best-Acc,29799.24227072027,29725.45574955644,33104.80725686779,34287.737665633664,95.16,4.74169921875,4.74169921875,4.74169921875,4.74169921875,64.0062890625,62.6806640625,79.0062744140625,84.85479492187497,323.395,325.0,367.0,384.0799999999999
Lowest-Latency,20590.10751780296,20571.44706895639,22632.90918262519,23015.039061942323,94.03135,3.3690771484375,3.35400390625,3.68896484375,3.739208984374998,40.15622802734375,39.719482421875,48.3789794921875,53.258813476562494,235.275,233.5,281.09999999999997,292.01
Random,26931.314079017815,26945.272759942643,32222.118031649014,33758.01215300674,94.42479999999999,4.100009765625,4.07177734375,4.93310546875,5.12451171875,55.09311279296875,54.14208984375,71.43549804687498,76.7934521484375,300.57,300.5,360.15,402.01
Round-Robin,27180.54981600486,27071.846556734454,31897.313116685924,33323.898780603035,94.3707,4.0631640625,4.02392578125,4.59814453125,4.59814453125,55.1250634765625,54.761962890625,69.56835937499999,72.300517578125,305.22,304.0,360.09999999999997,375.2499999999998
SLO-first,20763.710456038054,20897.15092577424,22632.253161834724,23521.723419756196,94.05695,3.3724267578125,3.35400390625,3.68896484375,3.83251953125,40.51050048828125,39.922607421875,49.2859619140625,53.91482910156249,237.76,237.0,279.04999999999995,289.01
