profile,strategy,mean,median,p95,p99
default,Best-Acc,9988.618167871402,9995.62860512783,11818.737364553177,12535.432218876313
default,Lowest-Latency,6857.671136268002,6819.135852379066,8085.186694122941,8499.410024906781
default,Random,8810.406111630009,8701.040219716917,11750.333984422612,12915.166868731267
default,Round-Robin,9006.00656881579,8851.044558917954,11883.099802993807,13116.00445133987
default,SLO-first,6857.645190419772,6868.52452111276,8111.921255814846,8595.978966079154
fast,Best-Acc,9891.90677921853,9857.313337301712,11822.600128083686,12383.77257263544
fast,Lowest-Latency,6751.995125245335,6702.076339718276,7966.673055675209,8327.489584695286
fast,Random,9046.118630644269,8930.882243790144,11991.143731343273,12601.571327203823
fast,Round-Robin,8897.946138683204,8681.640558559557,11614.710426540945,12763.36606377229
fast,SLO-first,6808.781982494507,6793.2103636295415,8005.529532733187,8466.154620935917
heavy,Best-Acc,10154.525990566466,10065.287259085359,12497.918385468984,13406.438767372738
heavy,Lowest-Latency,7034.922866398177,6976.467185426947,8371.68619783385,8788.355057355546
heavy,Random,9001.62619996427,8832.608383299324,11815.967005379347,13597.505855079482
heavy,Round-Robin,9091.317697286388,8990.365361359509,12221.997756318911,13560.431614806499
heavy,SLO-first,6964.119420570439,6954.955064357771,8117.136440291561,8728.09497337535
