strategy,mean,median,p95,p99
Best-Acc,29312.797703889748,29306.549902070074,32585.411048525322,34766.47375810364
Lowest-Latency,20260.71660580501,20285.279049018915,22189.117664950016,23330.53155659643
Random,26500.609107728036,26533.75198664224,31773.452687199573,34440.772198567734
Round-Robin,26307.241486727722,26232.253456486756,30906.199238847483,32167.213589996183
SLO-first,20370.414807872523,20346.846278468474,22627.354680754117,22958.38198242075
