profile,strategy,mean,median,p95,p99,acc_mean,mean_payload,median_payload,p95_payload,p99_payload,mean_link,median_link,p95_link,p99_link,mean_hops,median_hops,p95_hops,p99_hops
default,Best-Acc,9792.429642650708,9755.35106227177,11667.2010653002,12453.250481003472,95.16,1.58056640625,1.58056640625,1.58056640625,1.58056640625,21.245328369140626,20.337890625,29.811474609374997,32.465244140624996,108.0525,106.0,139.04999999999995,156.01999999999998
default,Lowest-Latency,6772.029819525789,6765.716916372314,7930.621160898835,8381.250292685156,94.054925,1.12131103515625,1.05419921875,1.24560546875,1.3910742187499983,13.652027587890625,12.85888671875,20.282958984374996,22.969311523437494,78.745,76.0,104.0,115.0
default,Random,8846.649304255994,8713.738790833193,11637.215236759037,12818.995125145731,94.351,1.35171630859375,1.24560546875,1.77197265625,1.77197265625,18.344666748046876,17.20654296875,28.191040039062486,33.99115722656249,100.55,97.0,138.0,158.01
default,Round-Robin,8942.976967720546,8654.397902369457,11965.060968751397,13615.532126058906,94.38052499999999,1.35554443359375,1.24560546875,1.77197265625,1.77197265625,18.5245849609375,17.70166015625,28.3619140625,33.98330566406248,101.4575,100.0,140.04999999999995,160.0
default,SLO-first,6783.839521453536,6765.32816192262,7929.942292068503,8371.09122820161,94.06195,1.1240625,1.05419921875,1.24560546875,1.38916015625,13.68716552734375,12.96142578125,20.756787109374997,22.868115234374997,79.3725,75.0,105.09999999999991,118.01999999999998
fast,Best-Acc,9717.123578936127,9646.632617414605,11718.442147206884,12451.453692857203,95.16,1.58056640625,1.58056640625,1.58056640625,1.58056640625,21.113448486328124,20.586181640625,29.40036621093749,32.53769531249999,107.255,105.0,140.0,154.0
fast,Lowest-Latency,6639.578770511423,6672.502798569345,7885.087236055838,8456.103157873744,94.03139999999999,1.11628662109375,1.05419921875,1.24560546875,1.38916015625,13.386475830078124,12.670654296875,19.22470703125,22.778144531249993,78.4775,75.0,107.0,116.02999999999997
fast,Random,8634.63514239067,8399.504303214304,11792.42745125899,12700.75734229762,94.350775,1.33329345703125,1.24560546875,1.77197265625,1.77197265625,17.72324951171875,16.981689453125,26.912670898437483,30.95887207031249,98.61,98.0,139.04999999999995,148.01999999999998
fast,Round-Robin,8727.978320707945,8604.578358579021,11378.89382157544,12887.571460562305,94.38052499999999,1.35554443359375,1.24560546875,1.77197265625,1.77197265625,18.296468505859377,17.629150390625,27.40849609374999,33.7264013671875,100.6475,100.0,140.0,159.05999999999995
fast,SLO-first,6656.0383461557,6665.43220567024,7912.0143259030065,8300.052421456865,94.03542499999999,1.11413330078125,1.05419921875,1.24560546875,1.3910742187499983,13.4655126953125,12.68408203125,20.268676757812493,22.974438476562497,78.15,76.0,105.0,113.01999999999998
heavy,Best-Acc,9977.678061062252,9949.64568929907,11996.555322055006,13305.962512918699,95.16,1.58056640625,1.58056640625,1.58056640625,1.58056640625,21.56123291015625,20.536376953125,30.741503906249992,34.61847656249999,108.015,105.0,140.0,157.0999999999999
heavy,Lowest-Latency,6907.708370305368,6927.464978299854,8195.05916356395,8548.318896433439,94.05625,1.1243017578125,1.05419921875,1.24560546875,1.38916015625,13.5400341796875,12.64453125,21.000781249999996,24.230991210937493,78.7725,76.0,108.0,121.0
heavy,Random,8942.359565529268,8637.337360351583,12044.679441526721,12956.114697190744,94.382225,1.35769775390625,1.24560546875,1.77197265625,1.77197265625,18.127030029296876,17.03857421875,27.586010742187497,33.04224609374999,99.3725,95.5,141.0,156.01
heavy,Round-Robin,8931.884832229462,8816.63908360584,11719.824176758573,13079.864000604859,94.38052499999999,1.35554443359375,1.24560546875,1.77197265625,1.77197265625,18.1337451171875,17.376220703125,27.220043945312497,31.667724609375,99.1,97.0,137.04999999999995,149.01
heavy,SLO-first,6812.083598877743,6792.264141158974,8055.923562600454,8620.824333857083,94.03092500000001,1.1161669921875,1.05419921875,1.24560546875,1.38916015625,13.316407470703124,12.394775390625,19.837304687499994,23.673339843749993,77.535,74.0,103.04999999999995,122.01999999999998
