strategy,mean,median,p95,p99
Best-Acc,319.43,317.0,369.2499999999999,388.03
Lowest-Latency,235.3,234.5,281.04999999999995,290.04999999999995
Random,299.95,300.0,362.04999999999995,395.06999999999994
Round-Robin,296.41,294.0,366.04999999999995,383.0
SLO-first,236.78,234.0,285.04999999999995,299.02
