strategy,mean,median,p95,p99
Best-Acc,63.1042236328125,61.751220703125,75.93596191406249,85.05861328124999
Lowest-Latency,40.60386962890625,39.912353515625,50.97902832031249,56.855083007812475
Random,54.2798779296875,54.120361328125,68.85117187499999,76.08565429687498
Round-Robin,54.4514892578125,53.185302734375,69.5908935546875,73.44554687499999
SLO-first,40.6186083984375,39.7412109375,51.52416992187499,55.191196289062496
