profile,strategy,slo_violation_pct_task_slo
default,Best-Acc,100.0
default,Lowest-Latency,100.0
default,Random,100.0
default,Round-Robin,100.0
default,SLO-first,100.0
fast,Best-Acc,100.0
fast,Lowest-Latency,100.0
fast,Random,100.0
fast,Round-Robin,100.0
fast,SLO-first,100.0
heavy,Best-Acc,100.0
heavy,Lowest-Latency,100.0
heavy,Random,100.0
heavy,Round-Robin,100.0
heavy,SLO-first,100.0
