profile,strategy,mean,median,p95,p99
default,Best-Acc,21.245328369140626,20.337890625,29.811474609374997,32.465244140624996
default,Lowest-Latency,13.652027587890625,12.85888671875,20.282958984374996,22.969311523437494
default,Random,18.344666748046876,17.20654296875,28.191040039062486,33.99115722656249
default,Round-Robin,18.5245849609375,17.70166015625,28.3619140625,33.98330566406248
default,SLO-first,13.68716552734375,12.96142578125,20.756787109374997,22.868115234374997
fast,Best-Acc,21.113448486328124,20.586181640625,29.40036621093749,32.53769531249999
fast,Lowest-Latency,13.386475830078124,12.670654296875,19.22470703125,22.778144531249993
fast,Random,17.72324951171875,16.981689453125,26.912670898437483,30.95887207031249
fast,Round-Robin,18.296468505859377,17.629150390625,27.40849609374999,33.7264013671875
fast,SLO-first,13.4655126953125,12.68408203125,20.268676757812493,22.974438476562497
heavy,Best-Acc,21.56123291015625,20.536376953125,30.741503906249992,34.61847656249999
heavy,Lowest-Latency,13.5400341796875,12.64453125,21.000781249999996,24.230991210937493
heavy,Random,18.127030029296876,17.03857421875,27.586010742187497,33.04224609374999
heavy,Round-Robin,18.1337451171875,17.376220703125,27.220043945312497,31.667724609375
heavy,SLO-first,13.316407470703124,12.394775390625,19.837304687499994,23.673339843749993
