profile,strategy,mean,median,p95,p99
default,Best-Acc,85.5225,85.0,111.0,120.02999999999997
default,Lowest-Latency,63.3975,63.0,86.0,93.01999999999998
default,Random,79.0575,79.0,110.0,125.02999999999997
default,Round-Robin,78.8625,78.0,109.0,129.01999999999998
default,SLO-first,62.995,62.0,84.04999999999995,94.01999999999998
fast,Best-Acc,87.685,88.0,112.04999999999995,123.00999999999999
fast,Lowest-Latency,65.5325,65.0,87.0,95.02999999999997
fast,Random,80.5225,80.0,108.09999999999991,124.01999999999998
fast,Round-Robin,80.85,81.0,111.0,126.00999999999999
fast,SLO-first,65.21,65.0,88.0,93.00999999999999
heavy,Best-Acc,86.68,86.0,114.0,123.03999999999996
heavy,Lowest-Latency,64.4075,65.0,86.0,93.00999999999999
heavy,Random,80.565,79.5,110.04999999999995,124.00999999999999
heavy,Round-Robin,81.225,80.0,111.04999999999995,121.00999999999999
heavy,SLO-first,63.9425,64.0,85.0,90.03999999999996
