run,strategy,latency_ms,acc,payload_mb,link_mb,hop_count,met_slo,stages_met,met_task_slo_all,stages_met_task_slo,stages,profiles
0,SLO-first,12367.817913612165,93.86,3.16259765625,35.74609375,196,False,0,False,0,3,fast|default|heavy
0,Best-Acc,20335.83137590554,95.16,4.74169921875,50.88427734375,289,False,0,False,0,3,fast|default|heavy
0,Lowest-Latency,12324.388105497856,93.86,3.16259765625,27.16064453125,181,False,0,False,0,3,fast|default|heavy
0,Random,17749.41576407275,95.16,4.40673828125,42.31298828125,245,False,0,False,0,3,fast|default|heavy
0,Round-Robin,15449.95967861914,94.11,4.55029296875,41.38330078125,223,False,0,False,0,3,fast|default|heavy
1,SLO-first,9554.802761689582,94.11,3.64111328125,28.50537109375,184,False,0,False,0,3,fast|default|heavy
1,Best-Acc,17394.214350987702,95.16,4.74169921875,56.82861328125,254,False,0,False,0,3,fast|default|heavy
1,Lowest-Latency,11878.576824369466,94.11,3.30615234375,30.97705078125,192,False,0,False,0,3,fast|default|heavy
1,Random,14966.888353349037,94.56,3.54541015625,41.7529296875,194,False,0,False,0,3,fast|default|heavy
1,Round-Robin,15089.158240329692,93.86,4.02392578125,42.38037109375,239,False,0,False,0,3,fast|default|heavy
2,SLO-first,14601.733267070758,93.86,3.35400390625,37.68310546875,236,False,0,False,0,3,fast|default|heavy
2,Best-Acc,17230.53628586931,95.16,4.74169921875,55.2275390625,231,False,0,False,0,3,fast|default|heavy
2,Lowest-Latency,10891.583919918738,94.59,3.49755859375,27.7353515625,162,False,0,False,0,3,fast|default|heavy
2,Random,18379.89134978469,94.56,4.26318359375,51.02685546875,239,False,0,False,0,3,fast|default|heavy
2,Round-Robin,16431.51944580256,93.38,3.64111328125,44.82080078125,263,False,0,False,0,3,fast|default|heavy
3,SLO-first,12348.806617104277,94.59,3.49755859375,29.923828125,199,False,0,False,0,3,fast|default|heavy
3,Best-Acc,20062.39181098672,95.16,4.74169921875,56.11962890625,264,False,0,False,0,3,fast|default|heavy
3,Lowest-Latency,11236.613920376985,94.59,3.35400390625,29.23193359375,174,False,0,False,0,3,fast|default|heavy
3,Random,14592.921732066938,94.59,3.54541015625,43.87109375,235,False,0,False,0,3,fast|default|heavy
3,Round-Robin,16699.029715411856,94.59,3.68896484375,43.61865234375,247,False,0,False,0,3,fast|default|heavy
4,SLO-first,12848.277430367718,94.11,3.30615234375,36.98828125,206,False,0,False,0,3,fast|default|heavy
4,Best-Acc,19746.420925815677,95.16,4.74169921875,52.46630859375,297,False,0,False,0,3,fast|default|heavy
4,Lowest-Latency,13755.325478131466,94.56,3.54541015625,40.216796875,217,False,0,False,0,3,fast|default|heavy
4,Random,15904.594994513081,95.16,4.21533203125,43.73095703125,236,False,0,False,0,3,fast|default|heavy
4,Round-Robin,16839.802481785748,94.56,3.88037109375,50.33447265625,262,False,0,False,0,3,fast|default|heavy
5,SLO-first,14873.724954551879,93.86,3.35400390625,43.35546875,227,False,0,False,0,3,fast|default|heavy
5,Best-Acc,18028.383701963285,95.16,4.74169921875,47.41552734375,267,False,0,False,0,3,fast|default|heavy
5,Lowest-Latency,13680.653197620384,94.56,3.35400390625,38.85498046875,195,False,0,False,0,3,fast|default|heavy
5,Random,18068.459666480645,93.38,4.21533203125,56.173828125,289,False,0,False,0,3,fast|default|heavy
5,Round-Robin,15394.361828797459,95.16,4.07177734375,50.83251953125,253,False,0,False,0,3,fast|default|heavy
