strategy,mean,median,p95,p99
Best-Acc,260.595,259.0,304.04999999999995,314.03
Lowest-Latency,190.32,191.0,223.0,239.01
Random,240.96,241.0,292.19999999999993,310.03
Round-Robin,239.275,240.0,280.04999999999995,293.03
SLO-first,192.325,191.5,235.04999999999998,239.04999999999995
