profile,strategy,acc_mean
default,Best-Acc,95.16
default,Lowest-Latency,94.10135
default,Random,94.32905000000001
default,Round-Robin,94.38052499999999
default,SLO-first,94.09477500000001
fast,Best-Acc,95.16
fast,Lowest-Latency,94.104625
fast,Random,94.366625
fast,Round-Robin,94.38052499999999
fast,SLO-first,94.097975
heavy,Best-Acc,95.16
heavy,Lowest-Latency,94.1066
heavy,Random,94.37352499999999
heavy,Round-Robin,94.38052499999999
heavy,SLO-first,94.07205
