profile,strategy,mean,median,p95,p99
default,Best-Acc,10394.137147334342,10237.520735398452,12565.336836030401,13564.530381031667
default,Lowest-Latency,7085.043415158659,7090.876606337057,8306.046643554066,8873.791984268084
default,Random,9258.884969069071,9076.896143253245,12067.957974379982,13353.791417215793
default,Round-Robin,9339.551800175957,9178.573743400048,12176.582746830522,13378.237225600154
default,SLO-first,7189.43270843066,7189.946716409777,8377.85975206479,8673.222505780375
fast,Best-Acc,10196.70346705694,10099.721675766361,12436.87366653236,13265.359394903422
fast,Lowest-Latency,7009.476001290353,6980.652699995517,8289.140751992665,8809.722710390179
fast,Random,9199.401398436394,9050.498629999456,12415.779560796933,14070.676185068074
fast,Round-Robin,9195.126344391705,9052.579324810475,12158.879351501406,13203.376516696862
fast,SLO-first,7067.5064080456905,7010.645782677811,8334.612417923454,8877.787357540234
heavy,Best-Acc,10426.904316772174,10356.97063148603,12391.762625070383,13222.420794530944
heavy,Lowest-Latency,7273.320658158527,7277.843703738798,8476.171383704876,8994.859963450164
heavy,Random,9424.052362371198,9160.718330841148,12725.119888353076,13976.035540118173
heavy,Round-Robin,9410.883916142007,9256.72235340331,12549.838178312426,13988.531437133655
heavy,SLO-first,7236.504732474915,7207.934185958387,8444.051985960725,8958.948631957299
