strategy,mean,median,p95,p99
Best-Acc,31038.7298395658,30787.246696891452,34891.8121983166,36603.452656227724
Lowest-Latency,21359.16478837369,21335.288377742876,23665.41659240565,24337.093476790673
Random,28187.11739278294,27834.29323685244,33462.26884641328,36462.08881790406
Round-Robin,28044.02430363903,27750.074150460277,33074.15189745536,34743.24423615632
SLO-first,21140.9517707622,21177.746586395016,23070.49369818513,23722.97522810819
