profile,strategy,acc_mean
default,Best-Acc,95.16
default,Lowest-Latency,94.04602500000001
default,Random,94.370625
default,Round-Robin,94.38052499999999
default,SLO-first,94.06477500000001
fast,Best-Acc,95.16
fast,Lowest-Latency,94.075425
fast,Random,94.36195
fast,Round-Robin,94.38052499999999
fast,SLO-first,94.04897499999998
heavy,Best-Acc,95.16
heavy,Lowest-Latency,94.06407499999999
heavy,Random,94.38709999999999
heavy,Round-Robin,94.38052499999999
heavy,SLO-first,94.06084999999999
