strategy,mean,median,p95,p99,acc_mean,mean_payload,median_payload,p95_payload,p99_payload,mean_link,median_link,p95_link,p99_link,mean_hops,median_hops,p95_hops,p99_hops
Best-Acc,31038.7298395658,30787.246696891452,34891.8121983166,36603.452656227724,95.16,4.74169921875,4.74169921875,4.74169921875,4.74169921875,64.65960205078125,63.32080078125,78.35588378906249,84.17989746093748,327.69,325.5,381.0,395.02
Lowest-Latency,21359.16478837369,21335.288377742876,23665.41659240565,24337.093476790673,94.05155,3.367880859375,3.35400390625,3.68896484375,3.88037109375,41.25591064453125,40.40283203125,51.9410400390625,54.44251464843748,237.02,235.0,277.0,295.03
Random,28187.11739278294,27834.29323685244,33462.26884641328,36462.08881790406,94.37325000000001,4.0765625,4.02392578125,4.78955078125,5.12451171875,56.013173828125,55.470947265625,70.640625,78.11193847656249,306.925,303.0,373.2999999999999,398.02
Round-Robin,28044.02430363903,27750.074150460277,33074.15189745536,34743.24423615632,94.3707,4.0631640625,4.02392578125,4.59814453125,4.59814453125,55.531982421875,53.985107421875,69.86972656249999,72.68819335937498,304.4,299.5,358.3499999999999,393.02
SLO-first,21140.9517707622,21177.746586395016,23070.49369818513,23722.97522810819,94.0244,3.350654296875,3.35400390625,3.6435058593749994,3.88037109375,40.236767578125,39.621826171875,47.41823730468749,54.37749999999999,234.965,232.5,267.04999999999995,288.25999999999976
